iter	RMSE
0	75330.62488
1	73491.8583
2	71794.43142
3	69960.21006
4	68307.49102
5	66621.9506
6	65157.68134
7	63705.0415
8	62136.81641
9	60585.54051
10	59095.11334
11	57624.67302
12	56357.1257
13	55250.70879
14	54100.63796
15	52931.20587
16	51853.89806
17	50835.42305
18	49842.5514
19	48872.93752
20	47882.10512
21	46976.68726
22	46132.15121
23	45311.56671
24	44441.77511
25	43711.20091
26	42998.68588
27	42278.60338
28	41595.89566
29	40896.89061
30	40233.81826
31	39645.47377
32	38972.19307
33	38449.5924
34	37925.81253
35	37378.84759
36	36888.80726
37	36433.87971
38	35928.94521
39	35377.71118
40	34856.59695
41	34341.04266
42	33930.01114
43	33529.7238
44	33124.09301
45	32728.32994
46	32372.63025
47	32041.08477
48	31743.56823
49	31413.09253
50	31095.7858
51	30749.52612
52	30424.33216
53	30143.39822
54	29870.25714
55	29569.44725
56	29304.90212
57	29025.3156
58	28718.15791
59	28465.32645
60	28262.40682
61	28007.1171
62	27794.76159
63	27556.21149
64	27342.62837
65	27124.12048
66	26876.92574
67	26684.28892
68	26550.59128
69	26377.8238
70	26201.93385
71	26030.44998
72	25821.59718
73	25639.29714
74	25479.61615
75	25302.25282
76	25170.2586
77	25037.89514
78	24874.95131
79	24723.00524
80	24572.89928
81	24440.9251
82	24283.19851
83	24161.05669
84	24005.12674
85	23871.14874
86	23841.58457
87	23705.71711
88	23594.5043
89	23460.06768
90	23344.17786
91	23226.49732
92	23119.10415
93	23003.8469
94	22903.78503
95	22795.95236
96	22702.92111
97	22588.52725
98	22473.09037
99	22446.10832
100	22344.82073
101	22243.41105
102	22153.79943
103	22018.93256
104	21893.78906
105	21812.40236
106	21697.84007
107	21608.67206
108	21497.70169
109	21423.00654
110	21322.72587
111	21208.63266
112	21124.18425
113	21019.97709
114	20936.09916
115	20859.9141
116	20749.09345
117	20711.34137
118	20644.2646
119	20571.33313
120	20511.80912
121	20472.86459
122	20392.86649
123	20336.74181
124	20264.72944
125	20234.01961
126	20173.54411
127	20095.91564
128	20006.1085
129	19925.62522
130	19864.87932
131	19785.01458
132	19734.73223
133	19657.2748
134	19594.7404
135	19554.50413
136	19525.30718
137	19498.21386
138	19444.77381
139	19396.5785
140	19306.02343
141	19262.98108
142	19194.41421
143	19188.04426
144	19143.11577
145	19084.53061
146	19025.14812
147	18962.93957
148	18925.73064
149	18862.79282
150	18822.71999
151	18788.30048
152	18744.03554
153	18677.51419
154	18607.97369
155	18532.4866
156	18512.77503
157	18488.43615
158	18434.01186
159	18375.62141
160	18344.16726
161	18282.5525
162	18224.66579
163	18188.15988
164	18143.80106
165	18091.96597
166	18013.75624
167	17996.98101
168	17970.84263
169	17949.88033
170	17896.87625
171	17877.0741
172	17837.60302
173	17825.72867
174	17784.19607
175	17747.16529
176	17712.98098
177	17677.61349
178	17629.74886
179	17610.17131
180	17594.69789
181	17513.87205
182	17446.12443
183	17428.62885
184	17402.77364
185	17365.23374
186	17315.64077
187	17256.06938
188	17224.60231
189	17187.77782
190	17155.28858
191	17109.76793
192	17067.08798
193	17023.84768
194	16968.93751
195	16914.46655
196	16879.29532
197	16855.27702
198	16807.62603
199	16764.93673
200	16749.60419
201	16703.2283
202	16639.51661
203	16592.64357
204	16580.79168
205	16536.73476
206	16526.24757
207	16489.70259
208	16461.12328
209	16411.16517
210	16374.04073
211	16327.965
212	16306.21634
213	16278.14144
214	16231.87766
215	16222.06232
216	16178.06838
217	16144.61305
218	16105.9492
219	16077.59012
220	16068.65594
221	16038.84306
222	16029.84048
223	15982.47285
224	15958.3832
225	15930.58282
226	15912.14827
227	15863.51417
228	15835.16487
229	15792.44203
230	15782.60795
231	15758.62721
232	15733.2435
233	15725.94085
234	15695.26227
235	15667.73855
236	15660.82334
237	15633.90388
238	15627.23797
239	15604.09033
240	15577.31029
241	15559.04943
242	15522.97202
243	15492.03326
244	15441.14433
245	15403.02736
246	15372.58691
247	15333.1798
248	15292.37974
249	15278.9711
250	15236.60411
251	15200.63379
252	15163.04228
253	15148.33159
254	15126.02147
255	15093.82756
256	15058.37058
257	15014.11854
258	14973.45498
259	14936.04766
260	14923.2852
261	14917.91454
262	14876.20655
263	14840.2919
264	14799.47058
265	14754.83404
266	14724.11582
267	14707.284
268	14694.77162
269	14676.72382
270	14630.29313
271	14625.3616
272	14591.73283
273	14534.70063
274	14511.61998
275	14482.28094
276	14435.27828
277	14415.93462
278	14379.34563
279	14362.76543
280	14337.29602
281	14319.49841
282	14285.24149
283	14249.17632
284	14211.66485
285	14189.98497
286	14163.87733
287	14130.84904
288	14100.17265
289	14066.73421
290	14038.46059
291	14015.42588
292	13997.51708
293	13960.77488
294	13921.3596
295	13887.41142
296	13872.06525
297	13837.8614
298	13811.5545
299	13789.79828
300	13767.91492
301	13727.8325
302	13705.60017
303	13692.46223
304	13662.66959
305	13647.66134
306	13617.21019
307	13586.62142
308	13565.99292
309	13534.85641
310	13519.27364
311	13487.13931
312	13457.89786
313	13443.15267
314	13413.29821
315	13379.9808
316	13357.70153
317	13318.51457
318	13298.43896
319	13267.36499
320	13241.77909
321	13208.07601
322	13185.90436
323	13164.08038
324	13133.44609
325	13093.3116
326	13067.28018
327	13045.56687
328	13014.29727
329	12981.59751
330	12945.48584
331	12930.72529
332	12910.27002
333	12874.80676
334	12855.53059
335	12849.2186
336	12838.09156
337	12807.37141
338	12785.45534
339	12758.37109
340	12729.0174
341	12708.70235
342	12695.36172
343	12676.6539
344	12659.81846
345	12640.90264
346	12616.03502
347	12580.90807
348	12540.45211
349	12535.66258
350	12508.91658
351	12472.35371
352	12448.51266
353	12420.70713
354	12397.92893
355	12364.64986
356	12361.53172
357	12332.92394
358	12324.59174
359	12294.02144
360	12279.76071
361	12271.42078
362	12244.44259
363	12226.849
364	12212.02746
365	12188.8443
366	12171.37496
367	12162.33679
368	12134.15039
369	12120.8376
370	12106.45458
371	12075.78174
372	12045.74662
373	12029.93525
374	12013.24169
375	11990.44694
376	11972.52623
377	11936.00755
378	11921.74864
379	11899.92492
380	11877.41783
381	11859.90358
382	11841.78984
383	11833.4033
384	11814.32211
385	11800.79563
386	11782.1161
387	11746.04234
388	11726.5971
389	11713.69736
390	11705.749
391	11684.5706
392	11671.68924
393	11650.5356
394	11624.37535
395	11598.54383
396	11581.09855
397	11564.25718
398	11536.15104
399	11512.8451
400	11491.45557
401	11468.73021
402	11453.73264
403	11436.61382
404	11420.71198
405	11399.13134
406	11379.81642
407	11363.74077
408	11348.61088
409	11324.4022
410	11300.45373
411	11284.76092
412	11261.67564
413	11238.00723
414	11222.13602
415	11200.7359
416	11190.06273
417	11166.335
418	11145.19332
419	11129.67633
420	11111.49993
421	11092.41839
422	11071.35589
423	11051.8343
424	11026.53256
425	11012.34521
426	10987.20786
427	10978.56872
428	10965.46774
429	10953.60433
430	10934.36699
431	10906.21911
432	10891.73045
433	10868.01185
434	10855.13676
435	10840.21181
436	10833.08911
437	10806.23408
438	10785.1283
439	10771.27719
440	10751.84006
441	10733.13734
442	10712.81212
443	10698.91088
444	10693.78485
445	10667.33768
446	10640.84694
447	10623.0445
448	10605.53662
449	10596.44641
450	10580.41864
451	10567.77059
452	10563.19601
453	10548.65077
454	10538.92143
455	10523.29245
456	10503.60361
457	10482.70062
458	10472.10873
459	10458.70719
460	10438.88937
461	10420.46103
462	10405.95022
463	10393.63923
464	10377.61051
465	10367.14068
466	10351.17442
467	10343.10817
468	10335.01386
469	10312.47991
470	10304.34595
471	10292.06159
472	10276.86582
473	10263.49311
474	10241.41051
475	10227.78884
476	10211.06989
477	10197.54758
478	10192.72687
479	10173.99084
480	10147.37664
481	10142.81248
482	10123.07257
483	10113.13397
484	10098.82465
485	10082.44375
486	10065.79883
487	10053.90753
488	10045.88637
489	10040.02876
490	10028.74329
491	10014.92934
492	10004.85331
493	9995.33611
494	9982.978155
495	9979.673614
496	9966.649329
497	9957.483906
498	9947.978063
499	9924.805519
500	9917.399509
501	9906.333794
502	9888.637856
503	9879.14245
504	9858.840013
505	9832.425972
506	9827.927797
507	9806.342673
508	9793.825335
509	9775.005732
510	9757.903751
511	9740.378957
512	9727.582403
513	9718.613392
514	9714.54893
515	9704.685262
516	9686.554424
517	9671.856992
518	9667.004226
519	9666.026024
520	9652.151338
521	9638.164728
522	9637.008817
523	9623.861059
524	9604.755088
525	9591.687944
526	9582.367255
527	9571.569282
528	9550.32495
529	9530.385015
530	9513.944276
531	9504.510465
532	9475.832991
533	9454.837579
534	9438.524198
535	9423.56121
536	9409.453131
537	9393.796192
538	9375.72098
539	9369.35162
540	9357.484601
541	9335.527635
542	9324.919399
543	9304.285344
544	9296.442896
545	9293.296727
546	9267.453855
547	9254.881199
548	9226.982387
549	9219.534851
550	9202.683178
551	9181.370273
552	9176.288544
553	9174.225593
554	9160.249685
555	9143.800959
556	9134.148526
557	9119.46248
558	9118.324662
559	9114.274585
560	9099.159528
561	9089.924867
562	9080.254884
563	9078.22181
564	9065.899908
565	9061.217819
566	9053.371546
567	9039.346222
568	9023.17765
569	9006.624389
570	8994.620942
571	8993.788758
572	8980.617335
573	8967.40246
574	8952.248244
575	8941.180383
576	8933.085994
577	8930.755592
578	8922.82712
579	8917.27162
580	8913.422574
581	8898.745575
582	8890.362413
583	8873.857815
584	8857.155998
585	8842.657403
586	8829.720616
587	8817.235285
588	8803.268183
589	8800.303991
590	8786.135575
591	8780.524778
592	8767.290726
593	8754.43042
594	8741.412658
595	8722.179061
596	8719.771525
597	8713.429342
598	8705.556141
599	8694.790807
600	8684.883074
601	8666.002063
602	8662.456784
603	8652.915058
604	8643.638209
605	8624.26032
606	8617.539113
607	8607.24989
608	8599.266467
609	8580.37606
610	8575.47105
611	8558.812475
612	8554.814566
613	8549.151019
614	8542.469519
615	8533.329654
616	8506.386976
617	8496.836431
618	8483.99933
619	8477.751411
620	8466.316952
621	8464.49262
622	8450.467249
623	8434.447739
624	8421.816177
625	8410.921149
626	8406.980588
627	8404.023127
628	8397.210975
629	8395.081174
630	8388.289152
631	8378.692306
632	8377.630669
633	8368.113583
634	8352.570649
635	8331.811491
636	8321.881995
637	8310.143086
638	8289.00406
639	8275.304763
640	8268.342514
641	8258.985626
642	8253.011175
643	8238.112916
644	8236.620282
645	8222.703024
646	8216.809873
647	8207.435815
648	8200.305093
649	8199.133061
650	8184.124717
651	8172.446559
652	8167.567194
653	8163.671155
654	8152.882689
655	8137.368265
656	8135.739559
657	8134.324495
658	8131.865779
659	8123.993866
660	8122.471651
661	8117.207059
662	8099.879144
663	8091.06182
664	8076.070919
665	8067.774882
666	8057.320723
667	8033.510099
668	8021.144093
669	8011.648299
670	7998.701063
671	7997.695653
672	7990.311349
673	7975.845748
674	7968.260099
675	7954.951778
676	7954.294862
677	7937.124327
678	7925.131474
679	7915.494847
680	7909.630737
681	7899.921349
682	7889.928619
683	7875.905834
684	7861.436888
685	7860.127345
686	7839.787328
687	7821.918886
688	7815.120883
689	7801.398647
690	7793.497709
691	7779.716079
692	7766.44039
693	7763.031695
694	7747.283517
695	7738.328173
696	7734.763339
697	7726.856458
698	7716.803577
699	7708.752524
700	7702.349856
701	7692.60079
702	7680.102837
703	7679.249763
704	7675.141848
705	7672.366002
706	7671.726443
707	7659.802269
708	7644.731101
709	7630.949779
710	7627.676075
711	7611.505027
712	7597.322067
713	7584.320621
714	7575.713167
715	7567.027869
716	7559.517812
717	7543.711442
718	7525.373489
719	7512.212621
720	7499.091213
721	7492.862471
722	7485.654364
723	7480.415539
724	7471.917884
725	7454.825762
726	7446.25465
727	7434.100016
728	7433.080839
729	7411.693409
730	7405.806643
731	7399.630238
732	7398.749917
733	7389.840096
734	7383.822737
735	7378.738042
736	7369.424069
737	7367.875155
738	7363.42649
739	7362.636158
740	7350.45358
741	7342.960833
742	7335.733989
743	7327.032658
744	7320.933018
745	7310.749727
746	7301.864485
747	7300.945678
748	7289.327215
749	7281.132351
750	7272.133183
751	7257.22081
752	7247.755685
753	7239.243108
754	7230.489402
755	7216.617791
756	7204.049469
757	7189.143249
758	7182.55956
759	7178.682083
760	7165.504526
761	7149.281596
762	7145.243046
763	7140.469627
764	7136.755402
765	7130.270533
766	7125.30897
767	7116.953031
768	7112.945217
769	7106.697889
770	7095.357578
771	7093.721032
772	7082.210375
773	7073.504261
774	7064.785141
775	7054.048155
776	7041.646134
777	7028.932608
778	7019.581969
779	7010.437968
780	6996.478726
781	6986.593209
782	6974.376766
783	6964.191462
784	6959.137797
785	6954.558492
786	6946.108215
787	6937.758902
788	6929.391858
789	6924.501671
790	6914.416085
791	6906.079028
792	6898.797883
793	6897.304464
794	6889.358831
795	6882.754186
796	6881.936665
797	6869.493011
798	6867.170837
799	6865.854591
800	6860.162363
801	6854.284611
802	6846.977795
803	6830.729005
804	6826.51413
805	6817.195067
806	6812.945769
807	6796.23248
808	6789.485164
809	6776.017647
810	6763.347679
811	6757.068948
812	6755.572041
813	6746.023037
814	6741.447731
815	6732.288409
816	6726.895023
817	6717.103635
818	6712.266854
819	6709.394841
820	6701.843657
821	6690.311645
822	6681.99642
823	6671.009266
824	6666.533817
825	6655.895442
826	6649.737014
827	6639.692962
828	6623.477236
829	6612.511362
830	6599.534097
831	6591.449024
832	6581.672854
833	6575.099332
834	6567.595161
835	6562.323119
836	6557.825731
837	6546.496506
838	6545.896242
839	6538.70294
840	6531.818601
841	6524.229501
842	6516.785166
843	6505.036812
844	6495.526376
845	6485.565328
846	6479.175005
847	6471.373258
848	6462.050221
849	6455.258387
850	6447.348224
851	6439.460786
852	6431.80501
853	6418.658281
854	6414.916391
855	6414.236615
856	6409.012532
857	6397.956222
858	6382.851323
859	6370.641857
860	6356.781437
861	6351.477871
862	6344.24322
863	6338.1801
864	6337.681454
865	6326.482104
866	6325.862395
867	6314.858713
868	6307.423774
869	6297.878869
870	6293.882814
871	6285.59676
872	6280.358187
873	6266.758158
874	6259.240943
875	6250.36437
876	6246.816039
877	6241.617236
878	6231.282856
879	6217.325542
880	6207.060389
881	6199.001021
882	6193.387669
883	6181.008949
884	6180.475389
885	6179.71944
886	6167.95284
887	6157.601077
888	6154.802696
889	6151.878627
890	6141.43744
891	6133.821625
892	6124.969086
893	6120.000137
894	6116.814394
895	6110.085028
896	6108.684259
897	6104.577801
898	6100.750569
899	6093.373317
900	6082.42747
901	6081.300755
902	6072.806071
903	6064.808935
904	6058.957882
905	6050.596362
906	6042.36281
907	6032.159244
908	6029.566209
909	6022.480856
910	6016.617055
911	6008.904704
912	6008.34328
913	5999.274292
914	5990.203845
915	5986.500313
916	5975.422404
917	5968.599813
918	5959.714321
919	5958.81485
920	5958.351452
921	5948.169144
922	5937.501589
923	5929.928081
924	5918.541074
925	5914.777731
926	5909.707917
927	5909.31957
928	5902.791482
929	5897.413191
930	5890.537617
931	5879.025435
932	5872.687017
933	5867.233108
934	5860.683605
935	5851.284337
936	5839.866281
937	5831.557653
938	5829.319664
939	5819.742445
940	5810.081743
941	5805.385093
942	5799.105915
943	5789.383151
944	5777.482175
945	5767.546061
946	5760.148195
947	5752.130716
948	5744.324212
949	5738.504324
950	5732.61896
951	5725.527888
952	5719.32878
953	5708.606075
954	5698.149644
955	5691.849907
956	5682.547222
957	5677.087793
958	5670.982027
959	5663.496112
960	5656.57114
961	5646.4345
962	5642.469562
963	5633.887048
964	5627.985043
965	5624.130501
966	5619.48858
967	5610.55767
968	5599.978224
969	5592.431549
970	5589.396195
971	5580.555145
972	5576.742618
973	5566.74274
974	5558.564428
975	5548.416383
976	5547.368537
977	5544.948976
978	5539.73752
979	5531.130418
980	5523.882753
981	5519.205378
982	5514.579583
983	5506.450077
984	5497.680434
985	5486.65707
986	5486.231027
987	5481.69574
988	5473.989935
989	5468.697045
990	5459.898189
991	5455.676432
992	5452.47628
993	5447.524331
994	5445.338359
995	5434.4916
996	5426.562934
997	5417.078033
998	5410.419582
999	5407.555194
