iter	Passed	Remaining
0	136	136553
1	139	69738
2	142	47199
3	143	35851
4	146	29073
5	148	24566
6	150	21338
7	152	18915
8	154	17061
9	156	15517
10	158	14286
11	161	13255
12	163	12392
13	165	11660
14	167	11015
15	170	10472
16	172	9968
17	174	9511
18	176	9095
19	178	8741
20	180	8415
21	182	8106
22	184	7824
23	186	7595
24	188	7367
25	190	7153
26	193	6958
27	195	6779
28	197	6605
29	199	6438
30	201	6301
31	203	6154
32	205	6015
33	207	5903
34	210	5803
35	212	5689
36	214	5579
37	216	5473
38	218	5384
39	220	5288
40	223	5222
41	225	5149
42	228	5086
43	230	5013
44	233	4954
45	236	4911
46	239	4855
47	242	4808
48	244	4749
49	246	4689
50	249	4637
51	251	4586
52	253	4536
53	256	4485
54	258	4437
55	260	4385
56	262	4336
57	264	4302
58	267	4271
59	270	4237
60	273	4205
61	275	4173
62	278	4147
63	281	4118
64	284	4093
65	287	4062
66	289	4028
67	291	3995
68	293	3965
69	296	3940
70	299	3916
71	301	3887
72	304	3867
73	306	3839
74	308	3810
75	311	3788
76	314	3766
77	316	3736
78	318	3709
79	320	3687
80	322	3660
81	324	3633
82	326	3609
83	329	3593
84	331	3570
85	333	3546
86	336	3533
87	338	3510
88	341	3491
89	344	3478
90	345	3456
91	348	3434
92	350	3422
93	353	3408
94	355	3388
95	359	3383
96	362	3372
97	364	3351
98	366	3338
99	368	3320
100	370	3302
101	373	3287
102	376	3281
103	379	3266
104	381	3255
105	384	3242
106	387	3229
107	390	3223
108	392	3207
109	394	3190
110	396	3176
111	399	3164
112	401	3151
113	403	3136
114	406	3129
115	408	3114
116	410	3099
117	413	3090
118	416	3079
119	418	3065
120	420	3057
121	423	3044
122	425	3031
123	427	3017
124	429	3009
125	432	2996
126	434	2983
127	437	2978
128	439	2965
129	441	2953
130	443	2941
131	446	2935
132	448	2924
133	450	2911
134	453	2907
135	455	2895
136	457	2879
137	459	2871
138	462	2866
139	465	2857
140	468	2852
141	470	2843
142	472	2833
143	475	2829
144	478	2819
145	480	2808
146	482	2797
147	484	2789
148	486	2777
149	488	2765
150	489	2754
151	493	2750
152	494	2739
153	496	2728
154	498	2720
155	501	2711
156	502	2700
157	504	2689
158	522	2766
159	525	2757
160	527	2747
161	529	2736
162	531	2729
163	533	2719
164	535	2709
165	537	2700
166	540	2695
167	542	2686
168	544	2675
169	546	2667
170	549	2661
171	550	2652
172	553	2644
173	556	2639
174	558	2630
175	560	2621
176	562	2616
177	565	2609
178	567	2601
179	569	2592
180	571	2587
181	573	2579
182	575	2570
183	578	2565
184	580	2558
185	582	2550
186	584	2543
187	587	2538
188	589	2530
189	591	2521
190	594	2515
191	596	2509
192	598	2501
193	600	2493
194	602	2488
195	604	2481
196	606	2473
197	608	2465
198	611	2460
199	613	2452
200	615	2446
201	618	2442
202	620	2435
203	622	2427
204	623	2416
205	626	2414
206	628	2407
207	630	2399
208	632	2394
209	635	2389
210	636	2381
211	638	2374
212	641	2371
213	643	2364
214	645	2357
215	646	2347
216	649	2343
217	651	2336
218	653	2329
219	654	2322
220	656	2314
221	659	2309
222	660	2302
223	662	2295
224	665	2291
225	667	2284
226	668	2278
227	671	2272
228	673	2269
229	675	2262
230	677	2255
231	680	2251
232	682	2245
233	683	2236
234	685	2230
235	687	2224
236	688	2216
237	690	2210
238	691	2201
239	693	2194
240	695	2190
241	697	2184
242	699	2179
243	701	2173
244	704	2170
245	706	2164
246	708	2158
247	709	2152
248	712	2148
249	714	2142
250	716	2136
251	718	2132
252	720	2127
253	722	2121
254	724	2115
255	726	2111
256	728	2107
257	730	2101
258	732	2096
259	735	2093
260	737	2088
261	738	2080
262	740	2075
263	743	2072
264	745	2067
265	747	2062
266	749	2057
267	751	2053
268	753	2048
269	755	2043
270	757	2038
271	759	2032
272	761	2026
273	762	2021
274	765	2016
275	767	2012
276	769	2007
277	770	2002
278	772	1997
279	775	1994
280	777	1989
281	779	1984
282	782	1982
283	784	1977
284	786	1972
285	787	1967
286	791	1966
287	793	1961
288	795	1956
289	798	1954
290	800	1949
291	802	1946
292	806	1945
293	809	1943
294	811	1939
295	814	1937
296	816	1932
297	818	1928
298	821	1925
299	823	1921
300	825	1917
301	828	1914
302	830	1911
303	832	1906
304	835	1903
305	838	1901
306	841	1899
307	843	1895
308	846	1892
309	848	1889
310	851	1887
311	854	1883
312	856	1879
313	858	1876
314	861	1872
315	863	1868
316	865	1865
317	869	1864
318	871	1860
319	873	1856
320	876	1853
321	878	1849
322	880	1846
323	883	1843
324	885	1840
325	888	1836
326	891	1834
327	893	1830
328	895	1826
329	897	1823
330	900	1820
331	902	1815
332	904	1811
333	907	1810
334	910	1806
335	912	1802
336	914	1799
337	917	1796
338	919	1792
339	921	1789
340	924	1786
341	926	1782
342	928	1778
343	931	1776
344	933	1772
345	935	1768
346	938	1766
347	941	1763
348	944	1760
349	947	1759
350	949	1755
351	952	1752
352	955	1751
353	958	1748
354	959	1744
355	962	1741
356	963	1736
357	966	1732
358	968	1728
359	971	1726
360	973	1722
361	975	1718
362	978	1716
363	979	1712
364	981	1708
365	984	1705
366	987	1702
367	989	1699
368	991	1695
369	994	1693
370	996	1690
371	998	1686
372	1002	1684
373	1004	1680
374	1006	1677
375	1009	1676
376	1012	1672
377	1014	1669
378	1017	1667
379	1019	1663
380	1021	1660
381	1024	1658
382	1027	1654
383	1029	1652
384	1033	1650
385	1035	1647
386	1038	1644
387	1041	1642
388	1043	1639
389	1046	1636
390	1049	1634
391	1051	1630
392	1053	1626
393	1055	1623
394	1057	1620
395	1059	1616
396	1061	1612
397	1064	1610
398	1067	1607
399	1069	1604
400	1072	1601
401	1074	1598
402	1076	1595
403	1079	1591
404	1081	1588
405	1083	1585
406	1085	1581
407	1088	1578
408	1090	1575
409	1092	1571
410	1094	1568
411	1096	1564
412	1098	1560
413	1099	1556
414	1101	1553
415	1103	1549
416	1105	1546
417	1107	1542
418	1109	1538
419	1111	1535
420	1113	1531
421	1115	1527
422	1117	1524
423	1120	1521
424	1122	1518
425	1124	1514
426	1126	1511
427	1128	1507
428	1130	1504
429	1131	1500
430	1134	1497
431	1136	1493
432	1138	1490
433	1139	1486
434	1142	1483
435	1144	1480
436	1146	1476
437	1147	1472
438	1150	1470
439	1152	1466
440	1154	1462
441	1155	1459
442	1158	1456
443	1160	1453
444	1162	1449
445	1164	1446
446	1166	1443
447	1168	1440
448	1170	1437
449	1172	1433
450	1174	1430
451	1176	1426
452	1178	1423
453	1180	1419
454	1182	1416
455	1184	1413
456	1186	1410
457	1188	1407
458	1191	1404
459	1193	1401
460	1195	1397
461	1198	1395
462	1200	1391
463	1201	1388
464	1203	1384
465	1205	1381
466	1207	1378
467	1209	1375
468	1211	1371
469	1214	1369
470	1215	1365
471	1218	1362
472	1219	1359
473	1222	1356
474	1224	1352
475	1226	1349
476	1228	1346
477	1230	1343
478	1232	1340
479	1233	1336
480	1236	1333
481	1238	1330
482	1240	1327
483	1242	1324
484	1244	1321
485	1246	1318
486	1248	1314
487	1250	1311
488	1252	1309
489	1255	1306
490	1257	1303
491	1259	1300
492	1261	1297
493	1263	1293
494	1264	1290
495	1266	1287
496	1269	1284
497	1271	1281
498	1273	1278
499	1275	1275
500	1277	1272
501	1279	1269
502	1281	1265
503	1284	1263
504	1286	1261
505	1288	1258
506	1290	1255
507	1293	1252
508	1294	1249
509	1296	1245
510	1298	1243
511	1300	1239
512	1302	1236
513	1304	1233
514	1307	1230
515	1308	1227
516	1310	1224
517	1312	1221
518	1314	1218
519	1316	1215
520	1318	1212
521	1320	1209
522	1322	1206
523	1324	1203
524	1326	1199
525	1328	1196
526	1330	1193
527	1332	1190
528	1334	1187
